"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"41";"FTN2019-0015";2019;"Arresting";"Resisting Lawful Arrest";"No";"3rd District";"L2-Taser";"L2";1;"3a96657ceec0b62fb433b4c070480c4e";"M";"Black / African American";"25";"3";"No";"Black / African American";"M";"31";"Yes";"UOF Justified"
"42";"FTN2019-0018";2019;"Call for Service";"refuse verbal commands";"Yes";"4th District";"Firearm Exhibited";"L1";1;"396e849ba5838b791347c3b91e4bbf93";"M";"Hispanic";"29";"3";"No";"White";"M";"28";"No";"UOF Justified"
"43";"FTN2019-0014";2019;"Call for Service";"Battery on Police Officer";"Yes";"1st District";"Takedown (no injury)";"L1";1;"e9136a0c1a6949904aa47afac170a1f9";"M";"Black / African American";"34";"15";"Yes";"White";"M";"36";"No";"UOF Justified"
"44";"FTN2019-0014";2019;"Call for Service";"Battery on Police Officer";"Yes";"1st District";"Takedown (no injury)";"L1";1;"ca3bb70a3eeed7ecb14515047538de5f";"M";"White";"36";"10";"Yes";"White";"M";"36";"No";"UOF Justified"
"45";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"396e849ba5838b791347c3b91e4bbf93";"M";"Hispanic";"29";"3";"No";"Black / African American";"M";"15";"No";"NULL"
"46";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"396e849ba5838b791347c3b91e4bbf93";"M";"Hispanic";"29";"3";"No";"Black / African American";"M";"15";"No";"NULL"
"47";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"a4cfd02fe3e1cc5010dba0e9c8899fcc";"M";"Black / African American";"32";"2";"No";"Black / African American";"M";"15";"No";"NULL"
"48";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"a4cfd02fe3e1cc5010dba0e9c8899fcc";"M";"Black / African American";"32";"2";"No";"Black / African American";"M";"15";"No";"NULL"
"49";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"e081db2627ebbafc8fbba7effa6c43fa";"M";"Black / African American";"27";"3";"No";"Black / African American";"M";"15";"No";"NULL"
"50";"FTN2019-0013";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"4th District";"Firearm Exhibited";"L1";1;"e081db2627ebbafc8fbba7effa6c43fa";"M";"Black / African American";"27";"3";"No";"Black / African American";"M";"15";"No";"NULL"
"51";"FTN2019-0012";2019;"Serving a Warrant";"Flight from an Officer";"Yes";"Other";"Firearm Exhibited";"L1";1;"d1ffcbad13a8b3116646f3082c65d7f9";"M";"White";"53";"13";"No";"Black / African American";"M";"30";"No";"UOF Justified With Policy Violation"
"52";"FTN2019-0012";2019;"Serving a Warrant";"Flight from an Officer";"Yes";"Other";"Firearm Exhibited";"L1";1;"a1bbc177e38b0232cf879fee532cf17a";"M";"White";"40";"4";"No";"Black / African American";"M";"30";"No";"UOF Justified With Policy Violation"
"53";"FTN2019-0010";2019;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";1;"8c5d0b4bfd9d4f91a778b623cec3ccae";"M";"White";"42";"12";"No";"Black / African American";"F";"28";"No";"UOF Justified"
"54";"FTN2019-0010";2019;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";1;"0493dd35a7292268de215527d2582e6a";"F";"White";"27";"1";"No";"Black / African American";"F";"28";"No";"UOF Justified"
"55";"FTN2019-0010";2019;"Call for Service";"refuse verbal commands";"Yes";"5th District";"Hands / Escort tech";"L1";1;"c7335dd1e450a901fc479557b771c73c";"M";"White";"32";"10";"No";"Black / African American";"F";"28";"No";"UOF Justified"
