"","Empl.ID","age.bucket","Officer.sex","Officer.race","Zip"
"256","17cd76888e85b24848e66da124a78e38","51 or older","Male","Black / African American","70460"
"257","0fd00a07aaa05bf8e9720b6165205f33","51 or older","Male","Black / African American","70128"
"258","090a6e05695b8c84046a5562ca27aa30","51 or older","Male","Black / African American","70734"
"259","fb65644cc142183eec717f70e67b9001","51 or older","Male","Black / African American","70454"
"260","9a3446df7e6c356e0260523593db6951","51 or older","Female","White","70072"
"261","346cec0bef01509d3428c1df183b2169","46 - 50","Male","Black / African American","70092"
"262","482ac06fc895f1866f2ecff7d1681cf2","51 or older","Male","White","70119"
"263","d3a26612d105ca43a940f2b966eead14","51 or older","Male","Black / African American","70461"
"264","c89b01bfdc1d140ace5094b70f550c8c","51 or older","Male","Black / African American","70131"
"265","afab2b86fb0b7bca80ced0ecbdc1ec33","41 - 45","Male","Black / African American","70461"
"266","4867ff9d21c761dd56a7d13982108d66","41 - 45","Female","Black / African American","70128"
"267","efaa1fec0460a5d7bd02fabc2e598474","51 or older","Male","Black / African American","70126"
"268","1d7e50786ce3311964b4055474596ccf","51 or older","Male","Black / African American","70131"
"269","ab64680c147ae3062b2f9b4cf1f9e6e1","41 - 45","Male","Black / African American","70070"
"270","70a152d4fd138c12af6d38f34e1c31c5","41 - 45","Male","White","70005"
"271","97287461076e234edd1a7e7fe0d7da98","51 or older","Female","Black / African American","70122"
"272","89db3fbd1a19af35dab5f74c43811f7a","51 or older","Male","White","70124"
"273","90ead7ec732dc5bab2700cf4026fe513","51 or older","Male","White","70003"
"274","8f026394a570050f7c941eb3846ecb9c","51 or older","Male","Hispanic / Latinx","70065"
"275","700e58ed05d0d1ec6deacd391f1d24f8","51 or older","Male","Hispanic / Latinx","70115"
"276","3e1331b39ba2ccfccff5b27edef2bf49","51 or older","Male","Black / African American","70114"
"277","b8a146c2c8fd7b930ae248c0a09e9972","46 - 50","Female","Black / African American","70127"
"278","41cde00ce71606794da216ab7466ce0c","41 - 45","Male","White","70458"
"279","73c1d84065ef43d5de592fcc752fd601","51 or older","Male","White","70118"
"280","34c9075bcf210ec599bc10e65f78b74e","46 - 50","Male","Black / African American","70131"
