"Action.taken.OIPM";"Action.taken.year";"Allegation.short";"Allegation.simple";"Allegation.primary.key"
"106";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"107";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"108";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"109";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"110";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"111";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"112";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"113";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"114";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"115";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"116";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"117";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"118";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"119";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"120";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"121";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"122";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"123";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"124";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"125";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
