"","Folder.number","Race","In.Year","In.Month"
"130","2381dcd92c6bde41afeed7d0647ce418","Black / African American",2018,1
"131","f721b7a31974bdf9a54232ddd26722cc","White",2018,1
"132","1cc540376d9673e312f7bcae325d3484","Black / African American",2018,1
"133","881ca71de2c6c80afc48fb0df3ecdcbe","White",2018,1
"134","17bf61657a58388cf140d082aec0470b","White",2018,1
"135","315c87357d032c0e79717f2889ef498a","Black / African American",2018,1
"136","cd5b2b44e8d7c64e2e438e74478cd7c6","Black / African American",2018,1
"137","af6792a97e97c431dcd25bfbd5758ade","Hispanic / Latinx",2018,1
"138","b242b8ff5e0ffdbb64e7d3210201fb18","Black / African American",2018,1
"139","edc4c8894f05ea47867ddad8158f662e","Black / African American",2018,1
"140","8b09ea5484a21055db621f0adb1e7e8b","Black / African American",2018,1
"141","cbc7085aacb712f83bf35262dae71f4a","Black / African American",2018,1
"142","6cfe89b2e13a3fa672e528761fc2f047","White",2018,1
"143","681bf841a45ec165cc72e2d2b424e68b","Black / African American",2018,1
"144","9cecb848f41d1225d65ea2812158b7dd","Black / African American",2018,1
"145","492d48d79b6f92c85c1c1ff71df47080","Black / African American",2018,1
"146","51ba6661d1d006440a53a416481e92eb","Black / African American",2018,1
"147","84744bbfd37a8883cb93e9b51d2d1ad9","Black / African American",2018,1
"148","e7d49b73d30bc60c8072aa9c1be1bc60","Black / African American",2018,1
"149","12eae2d2eefe35e152be2b7ea7fce384","Black / African American",2018,1
"150","6fc69819ebebcf73c568a0885440b6b6","Black / African American",2018,1
"151","1f0e6299457c876fc22363e8ca9cf7e6","Black / African American",2018,1
"152","5f598f08cee3c286113d6ad9e5917947","Black / African American",2018,1
"153","142a6f60273012534247d3b937d96229","White",2018,1
"154","37f9b16167c66396250f1b07ac06eb3c","Black / African American",2018,1
"155","d9ccc50e9d8f22d5867f97745a99809b","Black / African American",2018,1
"156","f2043b809b0df88095f877fdb33aade9","Black / African American",2018,1
"157","2bfdd5874d1e90a1042cb41e981f04cb","Black / African American",2018,1
"158","a4db31bc6601542be85e35d57a6dd502","Black / African American",2018,1
"159","2dd054b4eaff59c60f872406d3a8270b","Black / African American",2018,1
"160","f35e11e6bdc52e5309eb32282d5872fb","Black / African American",2018,1
"161","c1123875cce535bf3918b1477480a826","Black / African American",2018,1
"162","c460cf939a98f0e8841e7b8897d8a698","Black / African American",2018,1
"163","8e9286ce8e4accedf73e78c489ab87fe","Black / African American",2018,1
"164","c8406f963795e44aac4e1c680394948e","Black / African American",2018,1
"165","6357377f8bf23ec05dbf9aa6918b7ede","Black / African American",2018,1
